,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,CRIMINAL CASES,CATEGORY,EDUCATION,ASSETS,LIABILITIES,WINNER,AGE,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS,GENDER
0,Telangana,ADILABAD,SOYAM BAPU RAO,BJP,Lotus,52,ST,12th Pass,3099414,231450,1.0,52.0,376892.0,482.0,377374.0,25.33068419,35.4682479,1489790.0,MALE
1,Telangana,ADILABAD,Godam Nagesh,TRS,Car,0,ST,Post Graduate,18477888,847000,0.0,54.0,318665.0,149.0,318814.0,21.39992885,29.96436953,1489790.0,MALE
2,Telangana,ADILABAD,RATHOD RAMESH,INC,Hand,3,ST,12th Pass,36491000,15300000,0.0,52.0,314057.0,181.0,314238.0,21.09277146,29.53428505,1489790.0,MALE
4,Uttar Pradesh,AGRA,Satyapal Singh Baghel,BJP,Lotus,5,SC,Doctorate,74274036,8606522,1.0,58.0,644459.0,2416.0,646875.0,33.38382301,56.46461464,1937690.0,MALE
5,Uttar Pradesh,AGRA,Manoj Kumar Soni,BSP,Elephant,0,SC,Post Graduate,133784385,22251891,0.0,47.0,434199.0,1130.0,435329.0,22.46639039,37.99912537,1937690.0,MALE
6,Uttar Pradesh,AGRA,Preeta Harit,INC,Hand,0,SC,Post Graduate,55075753,0,0.0,54.0,44877.0,272.0,45149.0,2.330042473,3.940979148,1937690.0,FEMALE
7,Maharashtra,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,BJP,Lotus,0,GENERAL,Doctorate,168664576,2623964,1.0,37.0,696961.0,7699.0,704660.0,37.85653348,58.42515898,1861396.0,MALE
8,Maharashtra,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,NCP,Clock,1,GENERAL,Graduate,94488381,32549132,0.0,34.0,419364.0,3822.0,423186.0,22.73487211,35.08743129,1861396.0,MALE
9,Maharashtra,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,VBA,Cup & Saucer,0,GENERAL,Graduate,13949000,1400000,0.0,62.0,31644.0,163.0,31807.0,1.708771266,2.637199546,1861396.0,MALE
10,Gujarat,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,BJP,Lotus,0,GENERAL,Others,74699690,6252577,1.0,58.0,745810.0,4024.0,749834.0,41.3849704,67.00546171,1811851.0,MALE
