,STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS,GENDER_map
3,Telangana,ADILABAD,NOTA,0,NOTA,,,,,,,,,13030,6,13036,0.875022654,1.225214455,1489790,
14,Gujarat,AHMEDABAD WEST,NOTA,0,NOTA,,,,,,,,,14580,139,14719,0.895688416,1.473029814,1643317,
39,West Bengal,ALIPURDUARS,NOTA,0,NOTA,,,,,,,,,21147,28,21175,1.284592234,1.53311381,1648383,
46,Uttarakhand,ALMORA,NOTA,0,NOTA,,,,,,,,,15311,194,15505,1.158985445,2.215610876,1337808,
54,Andhra Pradesh,AMALAPURAM,NOTA,0,NOTA,,,,,,,,,16427,41,16468,1.128288329,1.333044081,1459556,
62,Uttar Pradesh,AMBEDKAR NAGAR,NOTA,0,NOTA,,,,,,,,,11329,15,11344,0.63528438,1.040147073,1785657,
71,Gujarat,AMRELI,NOTA,0,NOTA,,,,,,,,,17513,54,17567,1.07875521,1.927383281,1628451,
77,Punjab,AMRITSAR,NOTA,0,NOTA,,,,,,,,,8713,50,8763,0.581148968,1.018264384,1507875,
84,Andhra Pradesh,ANAKAPALLI,NOTA,0,NOTA,,,,,,,,,34877,20,34897,2.29379839,2.813239647,1521363,
88,Gujarat,ANAND,NOTA,0,NOTA,,,,,,,,,18365,27,18392,1.110715213,1.656811557,1655870,
93,Punjab,ANANDPUR SAHIB,NOTA,0,NOTA,,,,,,,,,17069,66,17135,1.008608044,1.583606279,1698876,
98,Andhra Pradesh,ANANTAPUR,NOTA,0,NOTA,,,,,,,,,16406,60,16466,0.98944813,1.221410059,1664160,
118,Tamil Nadu,ARAKKONAM,NOTA,0,NOTA,,,,,,,,,12015,164,12179,0.811924673,1.032370612,1500016,
123,West Bengal,ARAMBAGH,NOTA,0,NOTA,,,,,,,,,20484,11,20495,1.161370094,1.391886514,1764726,
128,Tamil Nadu,ARANI,NOTA,0,NOTA,,,,,,,,,16819,102,16921,1.167650002,1.477923727,1449150,
132,Bihar,ARARIA,NOTA,0,NOTA,,,,,,,,,20606,12,20618,1.14199372,1.762612407,1805439,
135,Bihar,ARRAH,NOTA,0,NOTA,,,,,,,,,21763,62,21825,1.044581744,2.016233334,2089353,
140,Andhra Pradesh,ARUKU,NOTA,0,NOTA,,,,,,,,,47955,22,47977,3.305526044,4.449586593,1451418,
151,Arunachal Pradesh,ARUNACHAL EAST,NOTA,0,NOTA,,,,,,,,,5490,85,5575,1.640728925,1.885235646,339788,
161,West Bengal,ASANSOL,NOTA,0,NOTA,,,,,,,,,14432,15,14447,0.894072215,1.166820525,1615865,
166,Odisha,ASKA,NOTA,0,NOTA,,,,,,,,,17330,14,17344,1.125397026,1.710639221,1541145,
178,Bihar,AURANGABAD,NOTA,0,NOTA,,,,,,,,,22397,27,22424,1.286603863,2.397086381,1742883,
189,Assam,AUTONOMOUS DISTRICT,NOTA,0,NOTA,,,,,,,,,8160,34,8194,1.029468117,1.326194692,795945,
202,West Bengal,BAHARAMPUR,NOTA,0,NOTA,,,,,,,,,14072,14,14086,0.859752755,1.082678149,1638378,
208,Uttar Pradesh,BAHRAICH,NOTA,0,NOTA,,,,,,,,,13184,5,13189,0.762410487,1.332029818,1729908,
223,West Bengal,BALURGHAT,NOTA,0,NOTA,,,,,,,,,13403,11,13414,0.93692551,1.119478033,1431704,
227,Gujarat,BANASKANTHA,NOTA,0,NOTA,,,,,,,,,12658,70,12728,0.749859784,1.153171175,1697384,
233,Uttar Pradesh,BANDA,NOTA,0,NOTA,,,,,,,,,19248,2,19250,1.131006378,1.860061532,1702024,
260,West Bengal,BANKURA,NOTA,0,NOTA,,,,,,,,,13987,32,14019,0.850200072,1.021312867,1648906,
263,Uttar Pradesh,BANSGAON,NOTA,0,NOTA,,,,,,,,,14060,33,14093,0.804735796,1.453211698,1751258,
267,Rajasthan,BANSWARA,NOTA,0,NOTA,,,,,,,,,29957,5,29962,1.516780671,2.080536959,1975368,
